"year","ageGroup","race","gender","population"
2010,0,"Nonwhite","male",32082406
2010,0,"White","female",122238141
2010,0,"White","male",119698920
2010,1,"Nonwhite","female",2712851
2010,1,"Nonwhite","male",2798004
2010,1,"White","female",7169084
2010,1,"White","male",7521423
2010,2,"Nonwhite","female",2620944
2010,2,"Nonwhite","male",2683923
2010,2,"White","female",7338075
2010,2,"White","male",7705715
2010,3,"Nonwhite","female",2600192
2010,3,"Nonwhite","male",2678030
2010,3,"White","female",7497140
2010,3,"White","male",7901832
2010,4,"Nonwhite","female",2798813
2010,4,"Nonwhite","male",2895275
2010,4,"White","female",7937864
2010,4,"White","male",8408391
2010,5,"Nonwhite","female",2677130
2010,5,"Nonwhite","male",2663190
2010,5,"White","female",7894693
2010,5,"White","male",8350986
2010,6,"Nonwhite","female",2608386
2010,6,"Nonwhite","male",2432960
2010,6,"White","female",7857872
2010,6,"White","male",8202631
2010,7,"Nonwhite","female",2504035
2010,7,"Nonwhite","male",2274034
2010,7,"White","female",7461564
2010,7,"White","male",7722466
2010,8,"Nonwhite","female",2478424
2010,8,"Nonwhite","male",2228319
2010,8,"White","female",7659196
2010,8,"White","male",7813703
2010,9,"Nonwhite","female",2389697
2010,9,"Nonwhite","male",2159951
2010,9,"White","female",8107290
2010,9,"White","male",8234026
2010,10,"Nonwhite","female",2427575
2010,10,"Nonwhite","male",2178089
2010,10,"White","female",9071931
2010,10,"White","male",9030996
2010,11,"Nonwhite","female",2278180
2010,11,"Nonwhite","male",2011632
2010,11,"White","female",9086671
2010,11,"White","male",8921642
2010,12,"Nonwhite","female",1903377
2010,12,"Nonwhite","male",1617954
2010,12,"White","female",8237780
2010,12,"White","male",7905694
2010,13,"Nonwhite","female",1492605
2010,13,"Nonwhite","male",1236449
2010,13,"White","female",7247819
2010,13,"White","male",6841051
2010,14,"Nonwhite","female",1042627
2010,14,"Nonwhite","male",828908
2010,14,"White","female",5540089
2010,14,"White","male",5023639
2010,15,"Nonwhite","female",780374
2010,15,"Nonwhite","male",587358
2010,15,"White","female",4253820
2010,15,"White","male",3656614
2010,16,"Nonwhite","female",1410861
2010,16,"Nonwhite","male",808330
2010,16,"White","female",9877253
2010,16,"White","male",6458111
